profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,86,19244,30720,32732,1991,32284,29118,61555,1089,25,0,1
balanced,aged,10,80,34103,32942,32860,1888,32896,28257,61268,1089,25,0,1
balanced,fresh,50,86,19679,30903,33146,1825,32742,29664,62789,1089,26,0,1
balanced,aged,50,80,32692,32968,32470,1906,32618,29341,60032,1089,24,0,1
balanced,fresh,75,86,19336,30871,32664,4609,32511,29013,58092,1089,25,0,1
balanced,aged,75,80,33252,33351,33201,1826,32367,28200,59186,1089,25,0,1
balanced,fresh,90,97,19378,30564,32559,2154,48991,28171,61085,1089,30,0,1
balanced,aged,90,91,33227,32855,31689,1895,37424,29681,60761,1089,24,0,1
balanced,fresh,95,97,19410,30281,33546,2014,32873,28748,60081,1089,26,0,1
balanced,aged,95,44,33545,33704,33173,32054,32731,29198,63530,1089,24,0,1
