profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,26,21041,36593,41942,36677,38791,34504,73352,1313,115,0,1
stress,aged,10,11,39673,40061,40592,36492,39333,34002,71589,1313,115,0,1
stress,fresh,50,11,20952,37479,39118,37074,46727,34434,77311,1313,115,0,1
stress,aged,50,93,42971,42763,42080,41474,42216,33654,73235,1313,115,0,1
stress,fresh,75,11,20719,40193,38742,36206,39944,34605,69128,1313,114,0,1
stress,aged,75,93,39302,38960,38243,36845,58996,33702,72602,1313,120,0,1
stress,fresh,90,11,20193,36437,38085,36497,39650,34076,71480,1313,115,0,1
stress,aged,90,93,40035,39091,38478,37218,54977,34420,74207,1313,121,0,1
stress,fresh,95,11,21697,39248,40689,40437,41800,34184,83603,1313,114,0,1
stress,aged,95,93,40661,42452,39970,40140,39702,35416,70733,1313,129,0,1
