profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,86,19041,30045,32129,5485,34332,28373,60054,1089,24,0,1
balanced,aged,10,80,45972,32062,31901,2737,34193,28454,60505,1089,36,0,1
balanced,fresh,50,86,19715,29692,32238,1955,32041,27722,59455,1089,25,0,1
balanced,aged,50,80,32202,32710,34549,1944,33136,27680,60088,1089,25,0,1
balanced,fresh,75,86,19864,30460,31578,1901,32014,28203,57757,1089,24,0,1
balanced,aged,75,80,32232,31875,32759,1980,33720,27824,60331,1089,25,0,1
balanced,fresh,90,97,19375,30582,32598,1908,32544,28395,59264,1089,24,0,1
balanced,aged,90,91,32324,31672,30772,1940,32108,28276,61577,1089,24,0,1
balanced,fresh,95,97,18900,29808,31654,1969,31841,26902,60233,1089,24,0,1
balanced,aged,95,44,40131,36595,36844,35550,38057,30805,68205,1089,278,0,1
