profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,26,19046,29839,32323,31672,34702,28192,58998,1089,92,0,0
balanced,aged,10,11,32596,32423,31187,30574,31746,28818,57480,1089,94,0,0
balanced,fresh,50,11,18874,29566,41688,30791,31899,27982,60173,1089,94,0,0
balanced,aged,50,93,32469,32317,32089,34595,32871,27508,60740,1089,93,0,0
balanced,fresh,75,11,19093,31069,32166,31311,35939,28052,61004,1089,93,0,0
balanced,aged,75,93,31983,32080,31343,30519,31716,27859,59149,1089,95,0,0
balanced,fresh,90,11,18703,29787,30769,29988,31810,26970,60512,1089,93,0,0
balanced,aged,90,93,45822,31453,31245,30927,32001,27185,59255,1089,104,0,0
balanced,fresh,95,11,18948,29008,31567,30565,35511,28314,69616,1089,106,0,0
balanced,aged,95,93,31924,32290,31715,30292,32394,27960,63525,1089,94,0,0
