profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,26,18736,30441,36661,29976,32100,27797,61031,1089,93,0,1
balanced,aged,10,11,32905,32477,32765,30539,31267,27065,58131,1089,92,0,1
balanced,fresh,50,11,18629,29679,31400,29712,31618,27147,57214,1089,95,0,1
balanced,aged,50,93,32461,31572,31915,31220,31836,26949,58161,1089,95,0,1
balanced,fresh,75,11,18863,30990,32156,31217,32394,26488,59891,1089,94,0,1
balanced,aged,75,93,32167,34235,31587,30561,32162,27151,59278,1089,94,0,1
balanced,fresh,90,11,18938,29897,31995,29987,31819,27022,60157,1089,94,0,1
balanced,aged,90,93,34498,32510,32286,30363,34376,26422,59239,1089,93,0,1
balanced,fresh,95,11,18860,29453,32504,30189,31635,27641,58531,1089,94,0,1
balanced,aged,95,93,32057,31752,30690,30016,31500,27427,57751,1089,94,0,1
