profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,26,17734,26139,28018,27173,28189,23801,53322,865,87,0,0
deterministic,aged,10,11,28418,27623,27458,26792,28018,23345,62108,865,73,0,0
deterministic,fresh,50,11,17640,25189,28237,27151,29395,23882,52878,865,74,0,0
deterministic,aged,50,93,28098,28845,29783,27253,28788,23695,51721,865,74,0,0
deterministic,fresh,75,11,17782,25422,27652,26748,27990,23649,52994,865,73,0,0
deterministic,aged,75,93,27926,27764,28365,27732,31103,23218,53245,865,73,0,0
deterministic,fresh,90,11,17627,25234,29579,26861,27446,23805,53456,865,72,0,0
deterministic,aged,90,93,28442,33043,29650,28393,31529,23694,54361,865,83,0,0
deterministic,fresh,95,11,17555,25341,41355,26345,27415,22684,52938,865,86,0,0
deterministic,aged,95,93,28646,28476,29805,28639,29773,23112,54891,865,75,0,0
