profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,86,23252,30881,33917,33226,61538,28655,56599,865,212,0,1
deterministic,aged,10,80,28265,28625,27841,26553,28195,24712,52127,865,20,0,1
deterministic,fresh,50,86,17749,25192,28087,27931,28377,24932,56652,865,19,0,1
deterministic,aged,50,80,28414,27810,27748,26998,27546,24252,53801,865,19,0,1
deterministic,fresh,75,86,24433,25306,26897,26698,28065,24519,51658,865,20,0,1
deterministic,aged,75,80,29131,28052,27449,26911,27298,24043,51088,865,20,0,1
deterministic,fresh,90,97,17639,25556,28751,27957,28423,25541,53887,865,19,0,1
deterministic,aged,90,91,28752,28553,27276,26600,27856,23922,51782,865,19,0,1
deterministic,fresh,95,97,18149,26130,28187,29539,28265,24164,52642,865,20,0,1
deterministic,aged,95,100,27999,28068,27444,28051,27207,23715,54346,865,21,0,1
