profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,86,18299,27308,28588,27747,28332,24211,56870,865,19,0,1
deterministic,aged,10,80,28067,27957,28352,28161,27982,24251,55005,865,19,0,1
deterministic,fresh,50,86,18081,25374,29341,27931,29082,24621,53864,865,19,0,1
deterministic,aged,50,80,30584,29486,28122,27253,28774,24144,56045,865,19,0,1
deterministic,fresh,75,86,18416,28046,30361,28007,28308,24710,53421,865,27,0,1
deterministic,aged,75,80,28542,28589,27308,26925,28136,24281,57503,865,19,0,1
deterministic,fresh,90,97,18174,26279,29070,28352,28369,24595,56192,865,19,0,1
deterministic,aged,90,91,28743,28207,28582,27262,28335,24218,56363,865,19,0,1
deterministic,fresh,95,97,18632,26246,28111,27891,27667,24164,51772,865,19,0,1
deterministic,aged,95,100,29074,28253,27140,27287,28540,24772,67121,865,19,0,1
