profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,86,26867,45675,47053,43603,46276,39469,78325,1313,344,0,1
stress,aged,10,80,43792,44225,44010,43297,45426,38510,84535,1313,347,0,1
stress,fresh,50,86,29427,42699,43988,42944,45861,38235,76531,1313,344,0,1
stress,aged,50,80,45132,44775,44493,41536,45681,39664,78495,1313,347,0,1
stress,fresh,75,86,26006,42705,44820,42702,46119,38685,86064,1313,345,0,1
stress,aged,75,80,45055,44932,44413,41630,48209,40419,80261,1313,348,0,1
stress,fresh,90,97,27080,42951,44425,42837,45834,38261,78230,1313,344,0,1
stress,aged,90,91,44642,45206,44697,42212,46584,38738,78506,1313,346,0,1
stress,fresh,95,97,27986,43221,46096,43724,46375,38769,78490,1313,350,0,1
stress,aged,95,66,45400,45335,46224,3374,47192,39676,79180,1313,343,0,1
