profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,86,18509,26603,29449,28620,28827,25090,57735,865,19,0,1
deterministic,aged,10,80,29140,29077,28216,28025,28396,24869,67196,865,19,0,1
deterministic,fresh,50,86,17984,26507,28600,28429,28392,26018,58567,865,19,0,1
deterministic,aged,50,80,29631,29100,28403,27326,28631,25197,57035,865,19,0,1
deterministic,fresh,75,86,18123,26626,28825,28222,28567,25335,61969,865,19,0,1
deterministic,aged,75,80,30051,29094,29900,28034,29809,25116,68023,865,20,0,1
deterministic,fresh,90,97,18021,26565,28696,27786,28294,25065,56739,865,20,0,1
deterministic,aged,90,91,29673,29784,29092,28268,28819,25096,57431,865,19,0,1
deterministic,fresh,95,97,18247,26881,28273,28330,28622,24980,56699,865,19,0,1
deterministic,aged,95,100,29136,28944,28608,28059,28822,24808,68163,865,19,0,1
