profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,86,26845,42309,44580,42283,49756,38434,80618,1313,344,0,1
stress,aged,10,80,44896,45819,45339,43521,46710,39771,80736,1313,346,0,1
stress,fresh,50,86,26191,42859,48078,43609,48813,41075,79649,1313,345,0,1
stress,aged,50,80,45815,45274,45024,41730,52443,40979,81255,1313,348,0,1
stress,fresh,75,86,29699,43305,48484,43644,47215,40741,79125,1313,360,0,1
stress,aged,75,80,48645,45655,45291,43718,47201,38969,89199,1313,344,0,1
stress,fresh,90,97,26771,43083,45338,43514,47497,40237,82834,1313,346,0,1
stress,aged,90,91,48000,45334,44271,42647,46368,39815,91010,1313,346,0,1
stress,fresh,95,97,26527,42071,44546,42887,50143,41217,81374,1313,345,0,1
stress,aged,95,66,51611,45718,46978,5897,46780,39999,77763,1313,371,0,1
