profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,86,19654,30095,33280,5377,32195,28854,62119,1089,35,0,1
balanced,aged,10,80,31707,32367,31263,1999,31624,27797,59628,1089,24,0,1
balanced,fresh,50,86,18537,29954,32544,1797,32265,27514,57469,1089,27,0,1
balanced,aged,50,80,31759,32013,30876,2001,30971,29673,57524,1089,24,0,1
balanced,fresh,75,86,18889,32599,32067,1732,32503,28615,60975,1089,24,0,1
balanced,aged,75,80,31602,31595,32445,1959,31863,27026,58189,1089,25,0,1
balanced,fresh,90,97,19268,30312,30797,1948,31214,27175,58798,1089,24,0,1
balanced,aged,90,91,31806,31743,31052,2039,32016,27082,56899,1089,24,0,1
balanced,fresh,95,97,19043,30285,31870,1967,32217,28428,68217,1089,24,0,1
balanced,aged,95,44,36835,38000,37995,36772,39252,31569,65706,1089,275,0,1
