profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,86,18225,26557,28224,27638,28018,24662,54007,865,19,0,1
deterministic,aged,10,80,28969,28036,27885,27365,28247,24681,53280,865,19,0,1
deterministic,fresh,50,86,17874,26241,28380,27494,28218,24951,54980,865,19,0,1
deterministic,aged,50,80,29550,28854,27354,27938,28774,24685,55646,865,20,0,1
deterministic,fresh,75,86,17927,26277,28605,28253,28231,24814,54104,865,35,0,1
deterministic,aged,75,80,28832,29425,27686,27365,32251,24810,52305,865,20,0,1
deterministic,fresh,90,97,18331,26585,28765,42875,28360,24622,53971,865,19,0,1
deterministic,aged,90,91,28233,29163,28497,28448,28207,24763,55340,865,20,0,1
deterministic,fresh,95,97,18608,27403,28629,28399,31137,24946,54936,865,19,0,1
deterministic,aged,95,100,28984,28556,28139,27279,28079,24271,50618,865,19,0,1
