profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,86,18902,29540,31639,1903,32617,28858,60923,1089,24,0,1
balanced,aged,10,80,32395,32328,31327,3689,31714,27893,63179,1089,24,0,1
balanced,fresh,50,86,18815,35195,33093,1964,32185,28647,62504,1089,24,0,1
balanced,aged,50,80,34618,34230,32345,1930,34132,28003,76041,1089,24,0,1
balanced,fresh,75,86,19372,29761,32103,1913,32530,28256,61095,1089,24,0,1
balanced,aged,75,80,32178,32232,31244,1884,31956,27900,63363,1089,24,0,1
balanced,fresh,90,97,19205,30294,33464,1850,31481,27355,59725,1089,24,0,1
balanced,aged,90,91,32364,32134,44301,1974,32152,27357,71301,1089,36,0,1
balanced,fresh,95,97,19093,30819,32445,1883,31780,27834,71677,1089,24,0,1
balanced,aged,95,44,37288,37943,37237,35775,40835,34467,70966,1089,276,0,1
