profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,86,28314,32449,36121,33536,45342,28058,60310,865,207,0,1
deterministic,aged,10,80,34378,33623,33245,32695,34704,27963,59997,865,210,0,1
deterministic,fresh,50,86,23243,30833,34210,32404,35793,28010,60957,865,207,0,1
deterministic,aged,50,80,28663,28234,26862,28376,27978,24730,63712,865,19,0,1
deterministic,fresh,75,86,18086,26339,28677,27579,28127,24694,53763,865,20,0,1
deterministic,aged,75,80,28595,28575,26884,27274,28436,24875,54288,865,20,0,1
deterministic,fresh,90,97,18435,26499,28020,28161,28247,24473,52000,865,19,0,1
deterministic,aged,90,91,28423,28760,28525,27072,27944,24625,53471,865,19,0,1
deterministic,fresh,95,97,17859,26325,28616,27650,28269,23937,53465,865,19,0,1
deterministic,aged,95,100,28197,28634,28548,27236,28664,23954,55039,865,19,0,1
