profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,86,26521,42143,48914,43296,46478,38838,76819,1313,346,0,1
stress,aged,10,80,45646,44836,43745,41460,47929,38947,76935,1313,348,0,1
stress,fresh,50,86,25637,42550,46876,43271,46804,39935,86082,1313,345,0,1
stress,aged,50,80,44837,44927,44816,43064,46646,38327,76912,1313,346,0,1
stress,fresh,75,86,30348,41215,44948,41598,46062,38444,74731,1313,350,0,1
stress,aged,75,80,44715,46410,55089,40269,45492,39385,79928,1313,344,0,1
stress,fresh,90,97,26038,42161,44454,42068,45130,38927,76870,1313,345,0,1
stress,aged,90,91,43940,44776,43953,42934,46137,36800,75537,1313,339,0,1
stress,fresh,95,97,29289,41433,44451,45402,45817,38631,78683,1313,344,0,1
stress,aged,95,66,44916,52362,44534,6851,51487,38029,75310,1313,346,0,1
