profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
balanced,fresh,10,86,22772,34349,38541,1818,37229,32592,70225,1089,25,0,1
balanced,aged,10,80,38472,37701,34528,1843,35521,32568,79201,1089,25,0,1
balanced,fresh,50,86,21732,35562,36645,1871,42622,31722,69690,1089,24,0,1
balanced,aged,50,80,40118,37405,41196,1889,37827,33388,67540,1089,24,0,1
balanced,fresh,75,86,23649,35098,38291,1828,39311,32942,76603,1089,25,0,1
balanced,aged,75,80,38629,38141,37506,2941,38051,33306,68635,1089,25,0,1
balanced,fresh,90,97,21510,35355,36107,2684,37247,32688,72877,1089,26,0,1
balanced,aged,90,91,38378,36326,36831,2027,36203,31663,76383,1089,25,0,1
balanced,fresh,95,97,21116,35226,41492,1969,38990,32392,68814,1089,25,0,1
balanced,aged,95,44,38421,37710,35703,33952,36369,31113,69110,1089,24,0,1
