profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,86,27899,43184,45576,42759,50895,40724,79049,1313,346,0,1
stress,aged,10,80,47826,47569,46128,46902,182180,42000,83592,1313,347,0,0
stress,fresh,50,86,30274,42621,46024,44626,47577,39846,82205,1313,352,0,1
stress,aged,50,80,45842,46405,44857,43396,48090,40415,86365,1313,353,0,1
stress,fresh,75,86,27005,45760,46012,43241,47915,41387,81983,1313,355,0,1
stress,aged,75,80,45681,45337,45797,44282,47470,39881,79100,1313,353,0,1
stress,fresh,90,97,26295,44669,45935,47324,48133,39994,81641,1313,348,0,1
stress,aged,90,91,46045,47890,46065,42885,47568,40894,80996,1313,350,0,1
stress,fresh,95,97,26805,43556,45751,44293,48493,39591,77557,1313,359,0,1
stress,aged,95,66,48476,47717,46580,3255,47898,39035,93496,1313,344,0,1
