profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,26,20168,37711,39779,35785,39729,34844,71733,1313,114,0,0
stress,aged,10,11,39478,39144,38941,36228,39197,34204,71959,1313,115,0,0
stress,fresh,50,11,20382,35993,38575,36728,39408,34603,65429,1313,115,0,0
stress,aged,50,93,39594,39651,37790,37551,38152,33913,77395,1313,116,0,0
stress,fresh,75,11,21159,40029,38300,35943,38526,33748,77916,1313,114,0,0
stress,aged,75,93,38360,38775,37656,36078,41061,33231,76802,1313,115,0,0
stress,fresh,90,11,20518,35909,38655,35763,38873,33335,79067,1313,115,0,0
stress,aged,90,93,39241,38899,38573,35844,38586,33777,71478,1313,116,0,0
stress,fresh,95,11,20455,36765,38902,35609,38683,36152,73040,1313,114,0,0
stress,aged,95,93,39305,42846,38463,35938,38115,34122,70286,1313,115,0,0
