profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,26,18716,27846,30125,27924,29918,23614,53947,865,86,0,0
deterministic,aged,10,11,27808,28123,27770,26803,27534,23405,63547,865,73,0,0
deterministic,fresh,50,11,18483,28106,30231,27959,29982,23354,57325,865,73,0,0
deterministic,aged,50,93,30966,32335,29871,27525,27999,24595,55372,865,73,0,0
deterministic,fresh,75,11,17629,25237,27728,26938,28564,24138,53746,865,74,0,0
deterministic,aged,75,93,30708,28291,29596,27314,27613,24324,52686,865,73,0,0
deterministic,fresh,90,11,19188,25758,29597,29935,27892,24086,53255,865,73,0,0
deterministic,aged,90,93,27780,29169,29420,27230,30326,23643,53315,865,73,0,0
deterministic,fresh,95,11,18574,27569,30638,28111,30003,23890,52912,865,73,0,0
deterministic,aged,95,93,27739,28492,28456,27644,28341,23924,60362,865,75,0,0
