profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
stress,fresh,10,86,26949,43799,46625,44767,47658,39339,80208,1313,307,0,1
stress,aged,10,80,46876,46017,46163,43734,47028,40384,85009,1313,349,0,1
stress,fresh,50,86,26895,44909,45941,43082,46745,39391,79033,1313,347,0,1
stress,aged,50,80,46171,45840,46313,43321,46455,40040,81190,1313,345,0,1
stress,fresh,75,86,25841,43099,46216,42365,46569,42825,80599,1313,346,0,1
stress,aged,75,80,46204,45621,49320,42997,46411,40195,78587,1313,351,0,1
stress,fresh,90,97,26290,44000,44908,44176,47374,41445,84043,1313,347,0,1
stress,aged,90,91,48603,46308,44741,42428,46708,40245,80360,1313,349,0,1
stress,fresh,95,97,26179,42632,44926,44201,47026,39915,77923,1313,348,0,1
stress,aged,95,66,42354,40358,40301,1750,40698,37048,78662,1313,30,0,1
