profile,phase,fill_target,fill_reached,max_kv_put_us,max_ts_insert_us,max_rel_insert_us,max_rel_delete_us,max_txn_commit_us,max_compact_us,max_reopen_us,spikes_gt_1ms,spikes_gt_5ms,fail_count,slo_pass
deterministic,fresh,10,86,18259,26006,28215,26595,28305,24704,53565,865,19,0,1
deterministic,aged,10,80,29229,28536,27730,26770,27998,24297,53576,865,19,0,1
deterministic,fresh,50,86,18061,26483,28700,27954,28362,24409,53080,865,19,0,1
deterministic,aged,50,80,28829,28888,27067,27171,27867,24418,52828,865,19,0,1
deterministic,fresh,75,86,18143,26122,28822,27638,27918,23664,53301,865,19,0,1
deterministic,aged,75,80,28074,28298,27042,27147,28241,23889,54043,865,19,0,1
deterministic,fresh,90,97,18230,26616,28893,27899,28637,23874,53552,865,19,0,1
deterministic,aged,90,91,28136,27906,27786,27565,28344,23730,54270,865,19,0,1
deterministic,fresh,95,97,17566,26542,29230,27609,28102,23593,52927,865,20,0,1
deterministic,aged,95,100,28573,28072,27575,27282,27904,23764,53366,865,21,0,1
